R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
2.703	7.697	-12.27	-5.493	-2.678	1.342	1.793	0.379	11.932	45.659	14.26	6.856	0.169	4.268	27.677	-18.928	-3.924	0.843	6.827	-0.189	-1.578	28.586	33.23	-29.967				-6.884	2.557	3.251	0.434	5.319	-3.806	-5.621	0	0	-8.497	0	0	-0.192	0.02	-0.023	-0.078	0.004	-0.004	-0.02	0.001	-0.001	0	0	0	-0.178	0.001	-0.012	-0.08	-0.058	0.015	-0.022	-0.038	0.006	0	0	0	0	-0.053	-0.064	0	-0.004	0.005	0	0.001	-0.012	-0.014	-0.043	0.248	-0.005	0.042	-0.136	0.005	0.003	0.001	-0.053	-0.006	0.009	0.034	-0.156	0.001	214.322	13.693	197.526	17.298	23.205	23.373	12.108	8.293
2.592	7.709	-12.625	-5.048	-2.766	2.042	1.502	0.327	12.262	45.806	14.407	7.021	0.301	4.372	27.595	-19.071	-4.023	0.426	7.255	-0.236	-1.855	28.177	33.092	-30.334				-6.84	2.463	3.231	0.487	5.354	-3.877	-5.575	0	0	-8.062	0	0	-0.196	0.023	-0.023	-0.08	0.006	-0.003	-0.021	0.001	-0.001	0	0	0	-0.181	0.004	-0.008	-0.08	-0.054	0.016	-0.021	-0.036	0.006	0	0	0	0.001	-0.049	-0.079	0	-0.003	0.008	0	0.001	-0.012	-0.014	-0.03	0.229	-0.004	0.044	-0.126	0.005	0.003	0	-0.058	-0.012	0.008	0.036	-0.076	0	224.672	14.962	195.716	18.447	22.618	22.649	10.935	8.846
2.48	7.722	-12.933	-4.606	-2.858	2.865	1.185	0.264	12.561	45.952	14.577	7.035	0.476	4.474	27.494	-19.389	-4.08	0.261	7.706	-0.318	-2.347	27.77	32.924	-30.648				-6.79	2.361	3.202	0.542	5.375	-3.936	-5.526	0	0	-7.707	0	0	-0.199	0.027	-0.022	-0.082	0.007	-0.002	-0.021	0.002	-0.001	0	0	0	-0.184	0.008	-0.004	-0.08	-0.048	0.017	-0.021	-0.033	0.006	0	0	0	0.001	-0.045	-0.095	0	-0.002	0.011	0	0.001	-0.012	-0.013	-0.017	0.206	-0.004	0.045	-0.115	0.004	0.003	-0.001	-0.06	-0.02	0.007	0.039	-0.013	-0.001	233.469	16.115	193.289	20.03	21.659	22.017	9.676	9.334
2.364	7.727	-13.183	-4.174	-2.949	3.823	0.851	0.194	12.813	46.095	14.768	6.904	0.681	4.576	27.368	-19.89	-4.101	0.311	8.194	-0.444	-3.079	27.371	32.729	-30.914				-6.734	2.252	3.163	0.597	5.382	-3.985	-5.475	0	0	-7.431	0	0	-0.202	0.031	-0.021	-0.084	0.009	-0.002	-0.022	0.002	-0.001	0	0	0	-0.188	0.012	-0.001	-0.08	-0.043	0.018	-0.02	-0.03	0.006	0	0	0	0.001	-0.04	-0.112	0	-0.001	0.015	0	0.001	-0.013	-0.012	-0.005	0.179	-0.004	0.046	-0.102	0.004	0.003	-0.001	-0.057	-0.031	0.005	0.044	0.03	-0.002	240.784	17.153	191.539	22.3	20.428	21.485	8.455	9.678
2.241	7.717	-13.364	-3.767	-3.033	4.926	0.52	0.12	12.994	46.233	14.978	6.632	0.891	4.676	27.214	-20.551	-4.089	0.535	8.721	-0.621	-4.041	26.99	32.509	-31.138				-6.669	2.135	3.11	0.645	5.376	-4.028	-5.421	0	0	-7.229	0	0	-0.205	0.034	-0.02	-0.086	0.011	-0.001	-0.022	0.003	0	0	0	0	-0.194	0.016	0.003	-0.081	-0.036	0.018	-0.02	-0.027	0.006	0	0	0	0.001	-0.035	-0.129	0	0	0.018	0	0.001	-0.013	-0.01	0.005	0.151	-0.004	0.046	-0.088	0.004	0.003	-0.002	-0.048	-0.044	0.002	0.047	0.055	-0.005	246.484	18.052	191.676	25.469	19	20.993	7.423	9.808
2.116	7.682	-13.47	-3.41	-3.107	6.175	0.213	0.049	13.068	46.362	15.202	6.226	1.075	4.774	27.025	-21.308	-4.048	0.893	9.259	-0.848	-5.185	26.629	32.263	-31.326				-6.597	2.01	3.042	0.685	5.357	-4.067	-5.363	0	0	-7.092	0	0	-0.208	0.038	-0.019	-0.088	0.012	0	-0.023	0.003	0	0	0	0	-0.199	0.019	0.005	-0.082	-0.03	0.018	-0.019	-0.024	0.005	0	0	0	0.002	-0.029	-0.146	0	0.001	0.022	0	0.001	-0.014	-0.009	0.013	0.122	-0.004	0.045	-0.074	0.004	0.003	-0.004	-0.031	-0.059	-0.002	0.048	0.065	-0.007	250.156	18.759	194.608	29.71	17.473	20.475	6.738	9.694
1.994	7.618	-13.497	-3.134	-3.164	7.57	-0.049	-0.011	12.998	46.478	15.436	5.688	1.198	4.867	26.798	-22.066	-3.976	1.351	9.758	-1.11	-6.427	26.293	31.992	-31.478				-6.514	1.878	2.958	0.711	5.323	-4.106	-5.303	0	0	-7.013	0	0	-0.211	0.041	-0.018	-0.091	0.014	0.001	-0.024	0.003	0	0	0	0	-0.205	0.022	0.006	-0.084	-0.025	0.018	-0.02	-0.021	0.005	0	0	0	0.002	-0.024	-0.163	0	0.002	0.025	0	0.001	-0.015	-0.007	0.019	0.095	-0.003	0.043	-0.06	0.004	0.002	-0.005	-0.007	-0.077	-0.007	0.047	0.064	-0.01	251.001	19.222	200.406	35.148	15.946	19.882	6.616	9.331
1.876	7.519	-13.44	-2.969	-3.197	9.107	-0.242	-0.055	12.741	46.575	15.675	5.02	1.231	4.948	26.527	-22.702	-3.861	1.885	10.143	-1.379	-7.664	25.982	31.692	-31.594				-6.42	1.74	2.859	0.72	5.272	-4.14	-5.246	0	0	-6.981	0	0	-0.213	0.044	-0.017	-0.094	0.015	0.002	-0.025	0.004	0	0	0	0	-0.211	0.023	0.007	-0.085	-0.02	0.017	-0.02	-0.018	0.005	0	0	0	0.002	-0.019	-0.177	0	0.003	0.028	0	0.001	-0.015	-0.006	0.021	0.07	-0.003	0.04	-0.047	0.003	0.002	-0.006	0.025	-0.095	-0.014	0.043	0.056	-0.011	248.708	19.408	208.52	41.903	14.479	19.111	7.413	8.729
1.757	7.38	-13.296	-2.944	-3.195	10.783	-0.341	-0.074	12.262	46.647	15.91	4.224	1.141	5.013	26.209	-23.084	-3.686	2.484	10.346	-1.616	-8.781	25.696	31.361	-31.672				-6.314	1.597	2.747	0.711	5.203	-4.166	-5.195	0	0	-6.985	0	0	-0.215	0.045	-0.015	-0.096	0.015	0.002	-0.026	0.004	0	0	0	0	-0.216	0.023	0.006	-0.087	-0.017	0.015	-0.021	-0.015	0.004	0	0	0	0.003	-0.014	-0.19	0	0.003	0.031	0	0.001	-0.016	-0.005	0.02	0.049	-0.003	0.035	-0.036	0.003	0.002	-0.007	0.064	-0.113	-0.023	0.036	0.046	-0.012	244.743	19.346	218.392	49.987	13.127	18.054	9.541	7.958
1.631	7.197	-13.057	-3.092	-3.145	12.594	-0.312	-0.064	11.532	46.689	16.137	3.306	0.9	5.058	25.851	-23.102	-3.443	3.158	10.319	-1.778	-9.673	25.434	30.997	-31.708				-6.193	1.451	2.625	0.683	5.113	-4.177	-5.154	0	0	-7.013	0	0	-0.216	0.047	-0.014	-0.099	0.015	0.003	-0.027	0.004	0	0	0	0	-0.22	0.021	0.004	-0.089	-0.014	0.014	-0.022	-0.013	0.003	0	0	0	0.003	-0.01	-0.201	0	0.004	0.033	0	0.001	-0.017	-0.003	0.016	0.032	-0.002	0.03	-0.027	0.002	0.002	-0.008	0.11	-0.13	-0.033	0.028	0.035	-0.01	241.312	19.107	229.602	59.207	11.928	16.678	13.379	7.093
