,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,62.356,1.61,46.327,5.105,1.08831750837358,0.028099800957109,0.808558682571413,0.089099058314311,2.85256612945951,1.70693200845046,2.71852484290638,1.49330370800635,24.6300864041423,18.5982285092504,26.389378290156,17.0902640355277
MIN,,21.792,-27.481,13.579,-23.733,0.380342150594604,-0.479633931740562,0.23699825912831,-0.414218991375814,-2.71852484290637,-1.47235975698242,-2.19702046241047,-1.61268422884277,-30.1592894744603,-20.8601752198363,-31.1645991236113,-22.6194671058471
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
51,0.425,50.153,-13.231,19.225,-14.288,0.875334979752716,-0.23092451333137,0.33553954869591,-0.24937264352495,2.76879032536379,0.747699051554365,-1.18333323285214,-1.46398217657284,-2.010619298304,6.03185789489128,8.04247719319225,-1.25663706143429
52,0.433333333333333,48.831,-13.588,19.79,-13.589,0.852261727041351,-0.237155338760989,0.345400658969678,-0.237172792053509,2.78554548618299,0.697433569096937,-1.25035387612875,-1.45351020106088,0.753982236869766,4.52389342116925,7.28849495632752,-1.50796447372432
53,0.441666666666667,47.501,-13.921,20.387,-12.895,0.829048847989826,-0.242967285170131,0.355820274604084,-0.225060207044669,2.77926230087574,0.65973445725386,-1.31109133409814,-1.44094383044652,2.26194671057816,3.26725635973434,7.28849495632795,-3.26725635973211
54,0.45,46.174,-14.236,21.013,-12.207,0.805888328815862,-0.248465072313913,0.366746035721568,-0.213052341790948,2.76041274495425,0.632507320922741,-1.37182879206754,-1.41371669411541,4.5238934211725,1.00530964914781,7.53982236861634,-3.76991118430905
55,0.458333333333333,44.856,-14.538,21.668,-11.532,0.782884889274576,-0.253735966654936,0.378177942322131,-0.201271369339986,2.72271363311115,0.624129740513175,-1.43466064513935,-1.38230076757951,5.27787565802934,-0.25132741228702,7.03716754403993,-4.27256600888107
56,0.466666666666667,43.556,-14.836,22.353,-10.872,0.76019560899865,-0.258937047825879,0.390133447698293,-0.189752196276823,2.6787313359609,0.626224135615567,-1.49330370800634,-1.34669605083883,6.53451271946942,-1.25663706143534,6.78584013175425,-4.27256600888325
57,0.475,42.277,-15.135,23.066,-10.229,0.737872847865643,-0.264155582289342,0.402577645265012,-0.1785297291865,2.62427706329866,0.636696111127528,-1.54985237577096,-1.31109133409814,7.03716754403668,-2.76460153515952,6.28318530718046,-3.76991118430689
58,0.483333333333333,41.024,-15.439,23.806,-9.603,0.716003872338154,-0.269461383215405,0.41549308172977,-0.167603968069015,2.56563400043169,0.659734457253858,-1.6022122533308,-1.27967540756225,7.03716754404568,-3.01592894744581,5.52920307031593,-3.51858377202121
59,0.491666666666667,39.799,-15.754,24.571,-8.992,0.694623589001223,-0.274959170359187,0.428844850507527,-0.15694000633933,2.50699093756464,0.684867198482573,-1.64828894558343,-1.25035387612874,7.53982236861299,-3.76991118430807,4.52389342117162,-2.51327412287106
60,0.5,38.602,-16.081,25.358,-8.395,0.673731997854851,-0.280666397013208,0.442580591720722,-0.146520390704924,2.44415908449287,0.716283125018473,-1.68598805742653,-1.22940992510481,7.28849495633077,-3.51858377202061,3.76991118430479,-2.2619467105867
