,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,57,1.524,45.594,19.747,0.994837673636768,0.026598817800394,0.795765419154295,0.34465016739132,2.55097323471493,1.54566358556618,2.58029476614838,0.531976356007879,25.1327412287156,16.0849543863803,18.5982285092481,11.8123883774969
MIN,,20.339,-26.852,15.738,11.669,0.354982516563127,-0.468655810745517,0.274679917678868,0.203662470415218,-2.44625347959525,-1.65038334068585,-1.94988184032807,-0.68277280338019,-25.8867234655782,-22.8707945181338,-25.6353960532889,-8.29380460547788
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
17,0.141666666666667,46.895,-1.452,18.763,16.217,0.818472152722741,-0.025342180738958,0.327476127551696,0.28304004479592,-1.68179926722174,-1.07233029242532,0.538259541315054,-0.163362817986676,-10.3044239037732,-6.28318530717957,4.02123859659485,-2.51327412287328
18,0.15,47.698,-0.94,18.506,16.295,0.832487146616255,-0.016406094968747,0.322990631374071,0.284401401612476,-1.59592906802363,-1.01997041486549,0.504749219676763,-0.142418866962732,-10.5557513160662,-7.53982236861546,5.02654824574416,-1.7592918860097
19,0.158333333333333,48.46,-0.453,18.265,16.363,0.845786555516452,-0.007906341511534,0.318784387876764,0.285588225503832,-1.50796447372307,-0.957138561793691,0.462861317628895,-0.127758101245985,-11.8123883774924,-10.8070787283489,5.52920307031801,-0.502654824573856
20,0.166666666666667,49.18,0.004,18.044,16.424,0.858352926130811,6.98131700797732E-05,0.314927210229857,0.286652876347549,-1.40952790391064,-0.867079572390783,0.416784625376245,-0.123569311041203,-11.3097335529242,-13.0690254389336,6.2831853071792,0.502654824573856
21,0.175,49.853,0.418,17.845,16.483,0.870098991996733,0.007295476273336,0.311454005018388,0.287682620606225,-1.31528012430294,-0.758171027066337,0.364424747816419,-0.127758101245985,-10.8070787283516,-15.5822995618056,6.53451271946744,1.25663706143579
22,0.183333333333333,50.481,0.78,17.671,16.544,0.881059659699258,0.013613568165556,0.308417132119918,0.288747271449942,-1.22522113490001,-0.628318530717957,0.30997047515419,-0.13823007675795,-10.0530964914878,-18.0955736846769,6.78584013175451,1.75929188601054
23,0.191666666666667,51.066,1.08,17.523,16.61,0.891269835823424,0.018849555921539,0.305834044826966,0.289899188756258,-1.14144533080427,-0.477522083345649,0.253421807389569,-0.152890842474704,-9.29911425462233,-19.6035381584003,6.78584013175225,2.26194671058435
24,0.2,51.611,1.308,17.402,16.683,0.900781880246793,0.022828906616086,0.303722196432053,0.291173279110214,-1.06395271201575,-0.314159265358979,0.196873139624967,-0.171740398396241,-9.29911425462553,-21.1115026321234,7.28849495632851,2.01061929829783
25,0.208333333333333,52.119,1.458,17.308,16.765,0.909648152846925,0.025446900494077,0.302081586935179,0.292604449096849,-0.986460093227209,-0.138230076757951,0.136135681655563,-0.188495559215389,-8.29380460548102,-21.3628300444106,7.79114978090396,2.76460153515821
26,0.216666666666667,52.59,1.524,17.243,16.855,0.917868653623818,0.026598817800394,0.300947122921382,0.294175245423644,-0.9173450548482,0.039793506945471,0.071209433481363,-0.211533905341708,-7.53982236861184,-22.3681396935594,7.03716754404038,2.01061929829862
27,0.225,53.028,1.505,17.209,16.956,0.925513195747553,0.026267205242515,0.300353710975704,0.295938027968158,-0.854513201776435,0.226194671058465,0.01256637061436,-0.228289066160863,-6.2831853071808,-22.6194671058464,7.28849495632851,1.50796447372237
28,0.233333333333333,53.436,1.397,17.203,17.065,0.93263413909569,0.024382249650361,0.300248991220584,0.297840436852832,-0.802153324216595,0.414690230273852,-0.048171087355045,-0.240855436775216,-5.27787565803308,-22.8707945181338,6.53451271946653,7.99360577730113E-13
29,0.241666666666667,53.819,1.199,17.226,17.18,0.939318750130828,0.020926497731412,0.300650416948543,0.299847565492626,-0.758171027066319,0.605280184591634,-0.102625360017266,-0.240855436775223,-4.77522083345233,-22.8707945181334,6.53451271946726,-0.753982236862876
30,0.25,54.181,0.91,17.275,17.295,0.945636842023048,0.015882496193148,0.30150562828202,0.301854694132419,-0.718377520120883,0.795870138909412,-0.157079632679493,-0.234572251468032,-5.02654824574438,-22.1168122812728,6.78584013175398,-1.50796447372218
